Description,Synonyms
Ovarian cancer,"['cancers, ovary', 'cancer, ovary', 'malignant tumour of ovary (disorder)', 'malignant ovarian neoplasm', 'malignant neoplasm of ovary', 'cancers, ovarian', 'cancer, ovarian', 'ovary cancer', 'ovarian cancer', 'malignant tumour of ovary', 'cancer of ovary', 'ovarian cancer nos', 'ovarian ca', 'malignant tumor of ovary', 'malignant ovarian tumor', 'ovarian cancer, nos', 'ovary cancers', 'ovarian cancer (diagnosis)', 'malign neopl ovary', 'ca ovary', 'ca - cancer of ovary', 'malignant tumor of ovary (disorder)', 'ovarian cancers', 'cancer of the ovary', 'malignant tumor of the ovary', 'malignant neoplasm of the ovary', 'malignant neoplasm of ovary (diagnosis)', 'ovarian ca', 'cancer of the ovary', 'carcinoma ovaries', 'cancer ovarian', 'cancer ovaries', 'ca ovarian', 'ovary cancer', 'carcinoma ovarian', 'malignant ovaries tumor', 'cancer of ovary', 'ovarian cancers', 'ovary carcinoma', 'ovarian cancer', 'cancer ovary', 'cancers ovarian', 'carcinoma of ovary (diagnosis)', 'ovarian carcinoma', 'ovarian carcinomas', 'carcinoma ovary', 'carcinoma of ovary']"
Cortical structure,[]
Nasopharyngeal carcinoma,"['nasopharynx, carcinoma', 'nasopharyngeal cancer, carcinoma', 'nasopharyngeal carcinoma', 'npca', 'npc', 'carcinoma of nasopharynx (diagnosis)', 'nasopharyngeal cancer', 'carcinoma nasopharyngeal', 'carcinoma of the nasopharynx', 'carcinoma of nasopharynx', 'cancer of nasopharynx', 'nasopharyngeal carcinoma (disorder)', 'cancer of the nasopharynx', 'carcinoma of the nasopharyngeal', 'nasopharynx carcinoma', 'carcinoma;nasopharyngeal', 'carcinomas nasopharyngeal']"
Hypothyroidism,"['subthyroidism', 'hypothyroidism (disorder)', 'hypothyroidism', 'hypothyroid', 'thyroid insufficiency', 'hypothyroidism (diagnosis)', 'hypothyroidism [disease/finding]', 'hypothyroidism nos', 'hypothyroidisms', 'hypothyroidism nos (disorder)', 'unspecified hypothyroidism', 'thyroid; insufficiency', 'thyroid deficiency', 'deficiency; thyroid', 'insufficiency; thyroid', 'thyroid activity decreased', 'underactive thyroid', 'thyroid; deficiency', 'hypothyroidism [ambiguous]', 'hypothyroidism, unspecified', 'unspecified acquired hypothyroidism', 'hypothyroidism, nos']"
glomerular filtration rate,"['filtration glomerular rate', 'filtration rates, glomerular', 'gfr', 'rate filtration glomerular', 'glomerular filtration rates', 'filtration rate, glomerular', 'rates, glomerular filtration', 'glomerular filtration rate, nos', 'glomerular filtration rate', 'rate, glomerular filtration', 'glomerular filtration rate, function (observable entity)', 'glomerular filtration rate (function)', 'glomerular filtration rate (observable entity)', 'glomerular filtration rate', 'glomerular filtration rate finding', 'glomerular filtration rate adverse event']"
CCL4 measurement,[]
Amyloid A Levels,[]
Osteoporosis,"['bone mineral density quantitative trait locus 8', 'bmnd8', 'osteoporosis', 'family history of osteoporosis', 'encounter due to family history of osteoporosis', 'family hx osteoporosis', 'osteoporosis', 'osteoporosis, nos', 'osteoporosis nos', 'osteoporosis, unspecified (disorder)', 'osteoporosis nos (disorder)', 'op - osteoporosis', 'osteoporosis (diagnosis)', 'unspecified osteoporosis', 'osteoporosis (disorder)', 'osteoporosis, unspecified', 'unspecified osteoporosis, site unspecified', 'osteoporoses', 'osteoporosis [disease/finding]', 'osteoporosis', 'osteoporosis adverse event', 'osteoporosis']"
Hepatitis B (viral clearance),[]
Fasting glucose-related traits (interaction with BMI),[]
Systolic blood pressure,"['systolic bp', 'sap - systolic arterial pressure', 'pressures, systolic', 'systolic pressure', 'systolic arterial pressure', 'systolic arterial pulse pressure, nos', 'systolic blood pressure', 'systolic blood pressure, nos', 'pressure systolic', 'systolic blood pressure (physical finding)', 'bp systolic', 'pressure, systolic', 'sbp', 'sysbp', 'systolic arterial pressure (observable entity)', 'sap - systol arterial pressure', 'systolic blood pressure (observable entity)', 'systolic blood pressure measurement', 'sbp', 'blood pressure systolic', 'systolic blood pressure', 'intravascular systolic:pressure:point in time:arterial system:quantitative', 'intravascular systolic:pres:pt:arterial system:qn', 'systolic blood pressure', 'bp sys']"
albuminuria,"['albuminuria nos', 'albuminuria', '[d]albuminuria (context-dependent category)', 'albuminuria [disease/finding]', 'albuminuria, nos', '[d]albuminuria', 'albuminurias', '[d]albuminuria (situation)', 'albuminuria (finding)', 'proteinuria (finding)', 'proteinuria (disorder)', '[d]proteinuria', 'protein urine positive', 'abnormal presence of protein in urine', 'proteinurias', 'proteinuria, nos', 'proteinuria (diagnosis)', '[d]proteinuria (context-dependent category)', '[d]proteinuria nos (situation)', '[d]proteinuria (situation)', 'proteinuria nos', 'proteinuria, unspecified', 'protein, urine, abnormal presence', 'proteinuria', 'proteinuria [disease/finding]', 'urinary protein positive', '[d]proteinuria nos (context-dependent category)', '[d]proteinuria nos', 'proteinuria present', 'proteinuria [ambiguous]']"
response to vaccine,[]
height growth measurement,[]
androgenetic alopecia,"['alopecia, androgenetic', 'alopecia androgenetic', 'androgenic alopecia, unspecified', 'androgenetic alopecia', 'alopecia hereditaria', 'androgenic alopecia (diagnosis)', 'androgenic; alopecia', 'male pattern alopecia', 'male pattern baldness', 'baldness, male pattern', 'common baldness', 'pattern baldness', 'alopecia androgenic', 'baldness; male-pattern', 'alopecia androgenet', 'mpb', 'alopecia hereditaria (disorder)', 'alopecia; androgenic', 'male pattern baldness (physical finding)', 'androgenet alopecia', 'alopecia, male pattern', 'androgenic alopecia (disorder)', 'alopecia, hereditary', 'aga', 'baldness male pattern', 'androgenic alopecia', 'male pattern alopecia (disorder)', 'hereditary alopecia', 'male-pattern baldness', 'female pattern baldness']"
basophil count,"['basophil count nos (procedure)', 'blood basophil count', 'blood cell count, basophil', 'basophil count (procedure)', 'basophil count nos', 'basophil count', 'basophils', 'basophil count [dup] (procedure)', 'blood basophil count (lab test)', 'basophils count']"
Fibrinogen,"['human fibrinogen (substance)', 'fibrinogen', 'fibrinogen, human', 'human fibrinogen', 'fibrinogen human', 'fibrinogen concentrate (human)', 'human fibrinogen (product)', 'human fibrinogen (qualifier value)', 'fibrinogen human plasma-derived', 'factor i', 'fibrinogen', 'fibrinogen activity', 'blood coag factor i', 'factor i (substance)', 'coagulation factor i (substance)', 'factor i, coagulation', 'fibrinogen', 'coagulation factor i', 'coag factor i', 'i, coagulation factor', 'blood coagulation factor i', 'factor i', 'fibrinogen [chemical/ingredient]', 'fibrinogens', 'fibrinogen containing hemostatics', 'fibrinogen', 'fibrinogen assay, nos', 'fibrinogen levels', 'fibrinogen measurement', 'fibrinogen assay (procedure)', 'fibrinogen assay/titer', 'fibrinogen level test', 'fibrinogen assay/titer (qualifier value)', 'fibrino', 'fibrinogen', 'fibrinogen assay', 'test;fibrinogen', 'fibrinogen, chemical, quantitative measurement', 'fibrinogen assay/titre (procedure)', 'fibrinogen tests', 'fibrinogen assay/titre', 'fibrinogen test', 'fibrinogen screening', 'fibrinogen testing', 'fibrinogen measurement (procedure)', 'fibrinogen level', 'fibrinogen level (procedure)', 'fibrinogen adverse event', 'fibrinogen', 'fibrinogen', 'fibrinogen complex', 'fibrinogen complex location']"
infant head circumference,[]
Ventricular conduction,[]
Sphingolipid levels,[]
mean corpuscular volume,"['erythrocyte mean corpuscular volume', 'erythrocyte mean corpuscular volume measurement', 'mean corpuscular volume (mcv) (lab test)', 'mean corpuscular volume (mcv)', 'mean corpuscular volume', 'ery. mean corpuscular volume', 'mcv', 'mean corpuscular volume (mcv)', 'mean corpuscular volume', 'volume, mean cell', 'mean corpuscular volume (result)', 'volumes, mean corpuscular', 'mean corpuscular volumes', 'corpuscular mean volume', 'mcv - nos', 'erythrocyte volume, mean cell', 'erythrocyte mean corpuscular volume', 'volume, mean corpuscular', 'mean cell volumes', 'finding of mean cell volume (finding)', 'volumes, mean cell', 'finding of mean cell volume', 'mcv', 'corpuscular volumes, mean', 'erythrocyte mean corpuscular volume (observable entity)', 'mean cell volume', 'cell volumes, mean', 'mcv - mean cell volume', 'mcv - nos (finding)', 'mean cell volume - finding', 'mcv - mean cell volume', 'mcv - nos (procedure)', 'mean cell volume mcv', 'mean corpuscular volume analyses', 'mean corpuscular volume - nos', 'erythrocyte mean corpuscular volume determination', 'mcv - nos', 'corpuscular mean volume', 'mean corpuscular volume - nos (procedure)', 'erythrocyte mean corpuscular volume determination (procedure)', 'mean cell volume (observable entity)', 'mean corpuscular volume', 'mean cell volume']"
metabolite measurement,[]
Dilated cardiomyopathy,"['ccm - congestive cardiomyopathy', 'congestive dilated cardiomyopathy', 'cardiomyopathies, dilated', 'cardiomyopathy congestive', 'heart; dilatation, cardiomyopathy', 'cardiomyopathy;congestive', 'congestive (dilated) cardiomyopathy', 'dilated cardiomyopathy', 'dcm - dilated cardiomyopathy', 'cardiomyopathy, dilated', 'cardiomyopathy, congestive', 'cocm - congestive cardiomyop', 'primary dilated cardiomyopathy', 'cardiomyopathy, dilated [disease/finding]', 'dilated cardiomyopathy (diagnosis)', 'congestive cardiomyopathy', 'cocm - congestive cardiomyopathy', 'primary dilated cardiomyopathy (disorder)', 'congestive cardiomyopathy (diagnosis)', 'cardiomyopathy; cardiomyopathy, dilated', 'dilated cardiomyopathies', 'congestive cardiomyopathy (disorder)', 'cardiomyopathy dilated', 'cocm congestive (dilated) cardiomyopathy', 'ccm - congestive cardiomyopath', 'dcm pathway', 'dilated cardiomyopathy', 'dilated cardiomyopathy pathway']"
Iris characteristics,[]
total blood protein measurement,[]
osteoarthritis of the knee,"['knee osteoarthrosis', 'osteoarthritis of knees', 'osteo arthritis knees', 'osteoarthritis susceptibility 6', 'osteoarthritis of the knee', 'knee djd', 'oa - osteoarthritis of knee', 'knee osteoarthritides', 'knee, osteoarthritis of', 'oa knee', 'osteoarthritis;knee', 'osteoarthritis of knee, unspecified', 'osteoarthritis nos, of knee', 'osteoarthritis, knee [disease/finding]', 'osteoarthritis of knee', 'osteoarthrosis of knee', 'osteoarthritis nos, of knee (disorder)', 'osteoarthritis knee', 'degenerative joint disease of knee', 'knees, osteoarthritis of', 'os6', 'knee osteoarthritis nos', 'osteoarthritis, knee', 'osteoarthrosis of knee (diagnosis)', 'knee osteoarthritis', 'osteoarthritis knees', 'osteoarthritis of knee (disorder)', 'gonarthrosis', 'osteoarthritis of knee (diagnosis)', 'osteoarthritides, knee']"
pulmonary hypertension,"['pulmonary hypertensions', 'hypertensive pulmonary vascular disease', 'hypertension caused by lung disease', 'pulmonary hypertension nos', 'hypertension pulmonary', 'pulmonary hypertension (disorder)', 'pulmonary hypertension disorder', 'hypertension, pulmonary [disease/finding]', 'pulmonary hypertension, nos', 'pulm hypertension', 'pulmonary hypertension', 'hypertension, pulmonary', 'pulmonary; hypertension', 'hypertension; pulmonary', 'hypertension pulm', 'pht - pulmonary hypertension', 'pulmonary hypertension (diagnosis)', 'pulmonary hypertension adverse event', 'hypertension pulmonary', 'pulmonary hypertension']"
soluble transferrin receptor measurement,"['soluble transferrin receptor measurement', 'sltfrnrc', 'soluble transferrin receptor']"
sex hormone globulin binding measurement,[]
soluble p-selectin measurement,[]
Blue vs. green eyes,[]
breast carcinoma,"['ca breast - nos', 'malignant neoplasm of breast (diagnosis)', 'malignant tumor of breast (disorder)', 'breast cancer', 'malignant tumour of breast', 'malignant tumor of breast', 'ca - breast cancer', 'breast malignant tumors', 'malignant neoplasm/breast', '[x]malignant neoplasm of breast', 'breast malignant neoplasm', 'breast, unspecified', 'breast tumour malignant', 'malignant neoplasm of the breast', 'malignant neoplasm breast', 'breast cancers', 'ca breast - nos (disorder)', 'breast cancer (diagnosis)', 'breast carcinoma', '[x]malignant neoplasm of breast (disorder)', 'malignant breast neoplasm', 'malignant neoplasm of breast', 'malignant neoplasm of breast, unspecified', 'malignant neoplasms of breast (c50)', 'malignant tumor of the breast', 'breast ca', '[x]malignant neoplasm/breast', 'mammary cancer', 'breast cancer stage unspecified', 'malignant neoplasm of breast, unspecified part', 'cancer of the breast', 'ca breast', 'breast cancer nos', 'cancer of breast', 'breast tumor malignant', 'cancer, breast', 'malignant breast tumor', 'cancer of the breast', 'breast cancer diagnosis', 'carcinoma of breast (disorder)', 'carcinoma breast', 'breast, carcinoma', 'ca - carcinoma of breast', 'carcinoma of the breast', 'carcinoma of breast', 'breast cancer, carcinoma', 'carcinoma of breast nos', 'breast cancer, nos', 'breast carcinomas', 'mammary carcinoma', 'carcinoma of breast nos (disorder)', 'cancer, breast', 'carcinoma of breast (diagnosis)', 'breast carcinoma nos', 'breast cancer', 'cancer of breast', 'breast carcinoma']"
idiopathic pulmonary fibrosis,"['usual interstitial pneumonia (diagnosis)', 'fibrosis, idiopathic pulmonary', 'ipf', 'cryptogenic fibrosing alveolitis (diagnosis)', 'pulmonary fibrosis idiopathic', 'familial idiopathic pulmonary fibrosis (disorder)', 'idiopathic fibrosing alveolitis, chronic form', 'idiopath pulmon fibrosis', 'pneumonitides, usual interstitial', 'fibrosis; lung, idiopathic', 'uip', 'diseases, hamman-rich', 'idiopathic fibrosing alveolitis, chronic form (disorder)', 'idiopathic pulmonary fibrosis [disease/finding]', 'usual interstitial pneumonitis (disorder)', 'pneumonitis, usual interstitial', 'cryptogenic fibrosing alveolitides', 'pulmonary dysplasias, fibrocystic', 'idiopathic pulmonary fibrosis', 'familial idiopathic pulmonary fibrosis', 'fibrocystic pulmonary dysplasia', 'dysplasias, fibrocystic pulmonary', 'idiopathic pulmonary fibrosis (diagnosis)', 'carrington-liebow syndrome', 'ipf - idiopath pulm fibrosis', 'fibrosing alveolitis, cryptogenic', 'uip - usual interstitial pneumonitis', 'cryptogenic fibrosing alveolitis', 'usual interstitial pneumonia (carrington-liebow)', 'interstitial pneumonitis, usual', 'lung; fibrosis, idiopathic', 'usual interstitial pneumonitis', 'usual interstitial pneumonia', 'idiopathic pulmonary fibroses', 'cfa - crypt fibros alveolitis', 'hamman-rich diseases', 'usual interstitial pneumonitis [ambiguous]', 'usual interstitial pneumonitides', 'pulmonary dysplasia, fibrocystic', 'disease, hamman-rich', 'ipf - idiopathic pulmonary fibrosis', 'interstitial pneumonitides, usual', 'hamman-rich disease', 'interstitial pneumonia, usual', 'dysplasia, fibrocystic pulmonary', 'interstitial pneumonias, usual', 'idiopathic pulmonary fibrosis, familial', 'diopathic pulmonary fibrosis', 'pulmonary fibrosis, idiopathic', 'fibrosing alveolitides, cryptogenic', 'uip - usual inter pneumonitis', 'pulmonary fibroses, idiopathic', 'pneumonia, usual interstitial', 'cfa - cryptogenic fibrosing alveolitis', 'hamman rich disease', 'usual interstitial pneumonias', 'cryptogen fibrosing alveolitis', 'fibrocystic pulmonary dysplasias']"
Birth weight,"['birth weight [disease/finding]', 'birthweight', 'infant birthweight', 'birthweight of baby', 'birth weight of baby nos (observable entity)', 'birth weight finding', 'birth weight finding (finding)', 'birth weight of baby', 'babies birth weight', 'finding of birth weight', 'observation of birth weight', 'birth weight (physical finding)', 'weight - baby', 'birth weight', 'birth weight of baby nos (finding)', 'babies birthweight', 'birth weights', 'birth weight, nos', 'weights, birth', 'finding of birth weight (finding)', 'birthweight of baby nos', 'weight, birth', 'bw - birth weight', 'birth weight of baby nos', 'birth weight (observable entity)']"
Response to citalopram treatment,[]
Adiponectin levels,[]
facial morphology,[]
Red blood cell count,"['erythrocyte number', 'erythrocyte count', 'red cell count', 'erythrocytes', 'blood count; red blood cell (rbc), automated', 'erythrocyte numbers', 'count rbc', 'blood count red blood cell automated', 'erythrocyte count (lab test)', 'count rbcs', 'blood cells count red', 'red blood cell count (procedure)', 'red blood cell count nos', 'count, erythrocyte', 'blood cell counts red', 'counting rbc', 'cell red blood count', 'rbc count', 'red blood cell count', 'rbc count nos', 'red blood cells', 'whole blood erythrocytic cell counts', 'counts rbc', 'blood cell count red', 'rbc count nos (procedure)', 'red blood cell count measurement', 'red blood cell count nos (procedure)', 'erythrocyte counts', 'blood cell count, red', 'rbc - red blood cell count', 'counts, erythrocyte', 'red cell blood count', 'automated rbc count', 'rbc', 'finding of red blood cell count (finding)', 'blood cells count red', 'red blood cell count', 'red blood cell count - finding', 'blood cell counts red', 'red cell blood count', 'cell red blood count', 'blood cell count red', 'finding of red blood cell count']"
